Функционал / Модуль,Старт,Бизнес,Профи,Премиум,Комментарий,Комментарий исполнителя,Спринты (по недельно) ,Что является результатом,Часы разработки,Стоимость
Базовая автоматизация,,,,,,,,,,
Архитектура и проектирование,✓,✓,✓,✓,Техническая необходимость,"Проектируем схему БД (PostgreSQL), API-контракты, настраиваем Docker-контейнеры и репозиторий на вашем GitHub. Без этого этапа невозможно начать разработку — это фундамент всей системы.",Неделя 1,"Проектирование системы, схема БД, API-контракты",24,36 000 ₽
LLM ядро (мозг бота),✓,✓,✓,✓,Техническая необходимость,"Подключаем языковую модель (DeepSeek V3.2 через OpenRouter). Бот учится вести диалог, понимать контекст, отвечать на EN и AR. Это «мозг», который управляет всеми ответами. Промпты можно будет менять через админку.",Неделя 2-3,"Ядро бота: генерация ответов, мультиязычность EN/AR",32,48 000 ₽
Ответы на вопросы (EN/AR),✓,✓,✓,✓,,Покрывается модулем LLM ядро выше. Отдельная разработка не требуется.,,,,
База знаний (каталог товаров),✓,✓,✓,✓,"Данные из Zoho Inventory, картинки из сайтов, правила ведения диалогов и преимущества компании конкурентные, контактные данные ОП ","Строим RAG-систему (Retrieval-Augmented Generation): все документы и товары индексируются в векторной базе Qdrant. Бот ищет релевантную информацию и формирует ответ на её основе. Автосинхронизация с Zoho Inventory раз в час.",Неделя 2-3,"1. Подключение всех коннектеров: Zoho Inventoty, Zoho CRM, сайты (оба). Подключение документов: правила ведения диалогов и преимущества компании + методика оценки качества диалогов
2. К базе делать запросы и получать ответы. ",40,60 000 ₽
Интеграция с WhatsApp (Wazzup),✓,✓,✓,✓,,"Подключаемся к Wazzup API: приём входящих сообщений через webhook, отправка ответов, поддержка изображений (фото товаров). Скачиваем историю диалогов для обучения.",Неделя 3,"Дать команду и скачать все диалоги с того момента как началась интеграция, запуск тестового диалога - интеграция позволяет отвечать ""Привет, Виктор!""",20,30 000 ₽
Интеграция с текущей информацией с Zoho CRM,✓,✓,✓,✓,Создание с передачей UTM меток,"По номеру телефона определяем клиента в CRM. Новый — создаём контакт и сделку с UTM-метками. Повторный — подгружаем всю историю (покупки, диалоги, сегмент) и бот общается с учётом контекста.",Неделя 4-5,"Если первый диалог - вся информация поступает, если второй раз, то бот должен уметь использовать весь контекст, который есть в CRM системе: весь диалог + что купил.
Видя номер телефона делает запрос в Zoho CRM, был ли клиент и общается исходя из контекста ",40,60 000 ₽
Проверка остатков в Inventory,✓,✓,✓,✓,,"Реал-тайм запросы к Zoho Inventory: актуальные остатки, цены, статус товара. Бот не предложит то, чего нет на складе.",Неделя 5,Дубль базы знаний ,16,24 000 ₽
Продажи и лояльность,,,,,,,,,,
Понимание голосовых (Whisper),—,✓,✓,✓,,Пока не в скоупе (нет результата от заказчика). Можно добавить позже за 16ч / 24 000 ₽.,,,,
Генерация КП в PDF,—,✓,✓,✓,"Создание SaleOrder в Zoho Inventory, подключение через Zoho Api","Бот проводит клиента через воронку: показывает товар с фото и ценой → получает согласие → запрашивает данные компании → создаёт SaleOrder в Zoho Inventory → отправляет PDF прямо в чат. Всё автоматически, без участия менеджера.",Неделя 5,"Мы понимаем, что нужно клиенту:
1. В свободной форме отправляем картинку, стоимость, название и получаем согласие от клиента, что это то, что ему нужно
2. Бот спрашивает при согласии - давай пришлю коммерческое предложение
3. Бот залезает в Zoho Inventory и создает SaleOrder.

Отправляем КП только после согласия клиента

Для проверки серьезности намерения клиента, запрашиваем у клиента данные: полные названия компании и т.п. ",16,24 000 ₽
Индивидуальные цены и скидки,—,✓,✓,✓,,"Таблица спецциен загружается из Zoho Inventory или Google Sheets. Бот автоматически применяет скидку для VIP/постоянных клиентов на основе сегмента из CRM.",Неделя 6,"Дубль базы знаний, информация берется из Zoho Inventory/гугл таблицы",20,30 000 ₽
Передача диалога человеку,—,✓,✓,✓,,"Настраиваем триггеры эскалации по вашему сценарию (Google Диск). Менеджер получает уведомление + полную историю диалога. Бот предупреждает клиента: «Соединяю вас со специалистом».",Неделя 6,"Будет подготовлен сценарий заказчиком, по которому мы будем формировать поведение бота (размещение на гугл диске) ",12,18 000 ₽
Тестирование (этап 1),✓,✓,✓,✓,Техническая необходимость,"Проверяем все сценарии: консультация, КП, CRM-интеграция, эскалация. Нагрузочное тестирование: 50+ одновременных диалогов. Исправляем баги перед запуском.",Неделя 8,Функциональные и интеграционные тесты,24,36 000 ₽
Деплой,✓,✓,✓,✓,Техническая необходимость,"Разворачиваем на VPS: Docker Compose (FastAPI + PostgreSQL + Qdrant + Redis + Nginx). HTTPS, автобэкапы БД, мониторинг. Настраиваем CI/CD из вашего GitHub для автодеплоя.",Неделя 8,"Настройка VPS, запуск в production",12,18 000 ₽
Контроль и управление,,,,,,,,,,
Бот контроля качества (аудит),—,—,✓,✓,Второй этап разработки,"Второй ИИ-бот, который читает диалоги основного бота и оценивает: правильность ответов, следование скрипту, вежливость, полнота информации. Выставляет оценку 1-10 по вашим критериям.",Неделя 9-10,"Разработать методологию оценки качества, либо взять методологию заказчика ",32,48 000 ₽
Оценка работы менеджеров,—,—,✓,✓,,"Тот же бот анализирует диалоги живых менеджеров: время ответа, следование скрипту, результативность. Еженедельный отчёт автоматически отправляется в согласованном формате.",Неделя 10-11,"Еженедельные отчеты, в согласованной с заказчиком форме, автоматически пересылаемый по указанным данным ",24,36 000 ₽
Уведомления в Telegram,—,—,✓,✓,Второй этап ,"Telegram-бот для руководства: алерты при негативном отзыве, при ошибке бота, при эскалации без ответа, при падении конверсии. Настраиваем перечень триггеров под ваши потребности.",Неделя 11,Необходимо исходя из сути проекта прописать что можно предложить для уведомления ,8,12 000 ₽
Админ-панель для промптов,—,—,Базовая,Полная,Первый этап,"Веб-интерфейс (React): просмотр всех диалогов, редактирование промптов бота без программиста, базовые метрики (диалоги/день, конверсия). Метрики согласуем с вами.",Неделя 7,Админ-панель для получения мета данных: сколько диалогов в день и т.п. (метрики получить от Заказчика) ,32,48 000 ₽
Аналитика и масштабирование,,,,,,,,,,
Дашборды и графики продаж,—,—,—,✓,,Пока не в скоупе (нет результата от заказчика). Можно добавить позже.,,,,
Отчёты по отказам и конверсии,—,—,—,✓,,"Автоматические отчёты: воронка конверсии, топ причин отказов, популярные товары, среднее время диалога. Данные в админ-панели + экспорт.",Неделя 11,Админ-панель для получения мета данных: сколько диалогов в день и т.п. (метрики получить от Заказчика) ,20,30 000 ₽
Рекомендательная система,—,—,—,✓,Второй этап ,"Бот предлагает аналоги («Этот стол похож, но дешевле») и сопутствующие товары («К этому столу часто берут кресло X»). На основе данных из каталога и истории покупок.",Неделя 12,"Уточнить, что имели в виду (ДЛЯ МЕНЯ) ",24,36 000 ₽
Реферальная система,,,,,,"Генерация персональных реферальных кодов, отслеживание переходов, начисление бонусов. Клиент делится кодом → новый покупатель получает скидку → реферер получает бонус.",Неделя 12-13,Система бонусов для текущих клиентов и партнеров ,24 / 32,36 000 / 48 000 ₽
Обучение команды и докс,—,—,—,✓,,Пока не в скоупе (нет результата от заказчика). Можно добавить позже за 20ч / 30 000 ₽.,,,,
Тестирование (этап 2),—,—,✓,✓,Техническая необходимость,"E2E тесты всей системы: контроль качества, уведомления, отчёты, рефералы. Финальная приёмка с демонстрацией.",Неделя 13,E2E тесты второго этапа,24,36 000 ₽
,,,,,,,,,
Итого (вариант 1: реферальная базовая),,,,,,,,,444,666 000 ₽
Итого (вариант 2: реферальная с админкой),,,,,,,,,452,678 000 ₽
